"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote"
ST LUKES SURGICAL AT THE VILLAGES INC,10C0001572,1205184603,THE VILLAGES,FL,32162,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.13,,,,,,,,,,,,,
ADVANCED SURGERY CENTER OF ORLANDO LLC,10C0001573,1326309394,ORLANDO,FL,32819,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,0,,N/A,5,167,No Different than the National Rate,2.3,1.7,3,,N/A,N/A,N/A,N/A,N/A,5
ADVANCED SURGERY CENTER OF ORLANDO LLC,10C0001573,1326309394,ORLANDO,FL,32819,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,0,,N/A,5,,,,,,,,,,,,
CORNERSTONE SURGICARE LLC,10C0001574,1033468442,PENSACOLA,FL,32503,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,74,No Different than the National Rate,2.1,1.5,2.9,,N/A,N/A,N/A,N/A,N/A,5
CORNERSTONE SURGICARE LLC,10C0001574,1033468442,PENSACOLA,FL,32503,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
TAVARES SURGERY LLC,10C0001575,1558618116,TAVARES,FL,32778,2020,50.79,,N/A,5,2426,No Different than the National Rate,9.5,7.4,12,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TAVARES SURGERY LLC,10C0001575,1558618116,TAVARES,FL,32778,2019,N/A,5,N/A,5,2984,No Different Than the National Rate,10.5,8.4,13.2,,N/A,5,N/A,5,,,,,,,,,,,,
THE OUTPATIENT CENTER OF DELRAY,10C0001576,1538461348,DELRAY BEACH,FL,33445,2020,90.57,,N/A,5,4988,No Different than the National Rate,9.5,7.8,11.5,,N/A,1,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
THE OUTPATIENT CENTER OF DELRAY,10C0001576,1538461348,DELRAY BEACH,FL,33445,2019,N/A,5,N/A,5,6029,No Different Than the National Rate,11.7,9.8,13.9,,N/A,5,N/A,5,,,,,,,,,,,,
ADVANCED SURGERY CENTER OF SARASOTA LLC,10C0001577,1861740508,SARASOTA,FL,34232,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,682,No Different than the National Rate,2,1.5,2.5,,N/A,N/A,N/A,N/A,N/A,5
SURGCENTER NORTHEAST LLC,10C0001578,1649515354,ST PETERSBURG,FL,33704,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,125,No Different than the National Rate,2.2,1.6,3,,N/A,N/A,N/A,N/A,N/A,5
SURGCENTER NORTHEAST LLC,10C0001578,1649515354,ST PETERSBURG,FL,33704,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.75,,N/A,5,,,,,,,,,,,,
SURGCENTER OF ORANGE PARK LLC,10C0001579,1821342858,ORANGE PARK,FL,32073,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,102,No Different than the National Rate,2.6,1.9,3.7,,N/A,N/A,N/A,N/A,N/A,5
RIVERSIDE ENDOSCOPY CENTER LLC,10C0001581,1619213303,JACKSONVILLE,FL,32204,2020,N/A,5,N/A,5,1018,No Different than the National Rate,9.6,7.4,12.6,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
RIVERSIDE ENDOSCOPY CENTER LLC,10C0001581,1619213303,JACKSONVILLE,FL,32204,2019,N/A,5,N/A,5,1135,No Different Than the National Rate,10.1,7.7,13.5,,N/A,5,N/A,5,,,,,,,,,,,,
LONGLEAF SURGERY CENTER,10C0001582,1831525112,NEW PORT RICHEY,FL,34655,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,119,No Different than the National Rate,2.3,1.6,3,,N/A,N/A,N/A,N/A,N/A,5
NATIONAL SURGICAL CENTERS OF AMERICA LLC,10C0001583,1063853174,LADY LAKE,FL,32159,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NATIONAL SURGICAL CENTERS OF AMERICA LLC,10C0001584,1992040976,DELRAY BEACH,FL,33484,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MARION SURGERY CENTER LLC,10C0001586,1386086411,OCALA,FL,34471,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,351,No Different than the National Rate,2.3,1.7,3.1,,N/A,N/A,N/A,N/A,N/A,5
MARION SURGERY CENTER LLC,10C0001586,1386086411,OCALA,FL,34471,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
SURGERY CENTER OF VIERA,10C0001587,1669803391,MELBOURNE,FL,32940,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.13,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF VIERA,10C0001587,1669803391,MELBOURNE,FL,32940,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.02,,N/A,5,,,,,,,,,,,,
SURGCENTER OF PALM BEACH GARDENS LLC,10C0001588,1770929044,PALM BEACH GARDENS,FL,33410,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,97.19,,N/A,5,131,No Different than the National Rate,2.4,1.8,3.2,,N/A,N/A,N/A,N/A,N/A,5
SURGCENTER OF PALM BEACH GARDENS LLC,10C0001588,1770929044,PALM BEACH GARDENS,FL,33410,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
ADVANCED SURGERY CENTER OF TAMPA LLC,10C0001589,1881013142,TAMPA,FL,33606,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,40,No Different than the National Rate,2.1,1.5,2.8,,N/A,N/A,N/A,N/A,N/A,5
NATIONAL SURGICAL CENTERS OF AMERICA LLC,10C0001592,1346662186,PORT ST LUCIE,FL,34986,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,90.48,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
LEGACY SURGERY CENTER,10C0001593,1699256404,TAMPA,FL,33625,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
FLORIDA ORTHOPAEDIC INSTITUTE SURGERY CENTER LLC,10C0001595,1841605318,TAMPA,FL,33625,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.09,,N/A,5,108,No Different than the National Rate,2.2,1.6,3,,N/A,N/A,N/A,N/A,N/A,5
FLORIDA ORTHOPAEDIC INSTITUTE SURGERY CENTER LLC,10C0001595,1841605318,TAMPA,FL,33625,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.29,,N/A,5,,,,,,,,,,,,
SEASIDE SURGERY CENTER,10C0001596,1043605934,NAPLES,FL,34109,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,635,No Different than the National Rate,2.2,1.7,2.8,,N/A,N/A,N/A,N/A,N/A,5
NEWSOM SURGERY CENTER OF SEBRING LLC,10C0001597,1205221470,SEBRING,FL,33870,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0,,,,,,,,,,,,,
VILLAGES REGIONAL HOSPITAL SURGERY CENTER LLC,10C0001598,1912317538,THE VILLAGES,FL,32159,2020,N/A,5,N/A,5,50,No Different than the National Rate,9.8,7.2,13.4,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
VILLAGES REGIONAL HOSPITAL SURGERY CENTER LLC,10C0001598,1912317538,THE VILLAGES,FL,32159,2019,N/A,5,N/A,5,64,No Different Than the National Rate,11.8,8.4,16.4,,N/A,5,N/A,5,,,,,,,,,,,,
COMPREHENSIVE SURGERY CENTER LLC,10C0001599,1891172078,CLEARWATER,FL,33765,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,97.81,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
COMPREHENSIVE SURGERY CENTER LLC,10C0001599,1891172078,CLEARWATER,FL,33765,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
DAVENPORT AMBULATORY SURGERY CENTER LLC,10C0001600,1912378357,DAVENPORT,FL,33837,2020,100,,N/A,5,203,No Different than the National Rate,9.6,7,13,,100,,0.17,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
DAVENPORT AMBULATORY SURGERY CENTER LLC,10C0001600,1912378357,DAVENPORT,FL,33837,2019,21.05,,N/A,5,263,No Different Than the National Rate,12.2,8.8,16.6,,96.46,,N/A,5,,,,,,,,,,,,
THE ORTHOPAEDIC SURGERY CENTER OF OCALA,10C0001603,1760847792,OCALA,FL,34471,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,323,No Different than the National Rate,2.1,1.6,2.9,,N/A,N/A,N/A,N/A,N/A,5
HABANA AMBULATORY SURGERY CENTER LLC,10C0001605,1578917035,TAMPA,FL,33614,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,89.08,,N/A,5,30,No Different than the National Rate,2.1,1.6,2.8,,N/A,N/A,N/A,N/A,N/A,5
HABANA AMBULATORY SURGERY CENTER LLC,10C0001605,1578917035,TAMPA,FL,33614,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
GLOBAL MICROSURGICAL CENTER LLC,10C0001606,1568800829,OCOEE,FL,34761,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
GLOBAL MICROSURGICAL CENTER LLC,10C0001606,1568800829,OCOEE,FL,34761,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
ORTHOPEDIC SURGERY CENTER OF PALM BEACH COUNTY,10C0001607,1568918746,BOYNTON BEACH,FL,33415,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
SURGCENTER OF ST LUCIE,10C0001608,1053764779,PORT ST LUCIE,FL,34987,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.96,,N/A,5,319,No Different than the National Rate,2.4,1.8,3.1,,N/A,N/A,N/A,N/A,N/A,5
THE ADVANCED CENTER FOR SURGERY LLC,10C0001609,1700331964,VERO BEACH,FL,32960,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,256,No Different than the National Rate,2.3,1.8,3.2,,N/A,N/A,N/A,N/A,N/A,5
THE ADVANCED CENTER FOR SURGERY LLC,10C0001609,1700331964,VERO BEACH,FL,32960,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
EAST COAST SURGERY CTR,10C0001610,1932657335,DAYTONA BEACH,FL,32117,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,381,No Different than the National Rate,2.2,1.7,2.9,,N/A,N/A,N/A,N/A,N/A,5
EAST COAST SURGERY CTR,10C0001610,1932657335,DAYTONA BEACH,FL,32117,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
MIAMI SURGICAL SUITES LLC,10C0001612,1992250922,MIAMI,FL,33173,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,59,No Different than the National Rate,2.2,1.6,3,,N/A,N/A,N/A,N/A,N/A,5
OUTPATIENT SURGERY CENTER AT TGH BRANDON HEALTHPLE,10C0001613,1962953018,TAMPA,FL,33619,2020,100,,N/A,5,186,No Different than the National Rate,9.9,7.3,13.5,,99.62,,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,198,No Different than the National Rate,6.5,4.7,9.1,
OUTPATIENT SURGERY CENTER AT TGH BRANDON HEALTHPLE,10C0001613,1962953018,TAMPA,FL,33619,2019,90.04,,N/A,5,143,No Different Than the National Rate,12,8.6,16.7,,95.26,,N/A,5,,,,,,,,,,,,
HEART OF FLORIDA SURGERY CENTER,10C0001614,1629420922,DAVENPORT,FL,33837,2020,N/A,5,N/A,5,102,No Different than the National Rate,9.9,7.2,13.5,,N/A,5,N/A,5,35,No Different than the National Rate,2.1,1.5,2.9,,65,No Different than the National Rate,7.3,5,10.4,
HEART OF FLORIDA SURGERY CENTER,10C0001614,1629420922,DAVENPORT,FL,33837,2019,56.52,,N/A,5,115,No Different Than the National Rate,11.8,8.4,16.1,,86.93,,N/A,5,,,,,,,,,,,,
DELRAY BEACH SURGICAL SUITES,10C0001616,1184164816,DELRAY BEACH,FL,33483,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,363,No Different than the National Rate,2,1.5,2.7,,N/A,N/A,N/A,N/A,N/A,5
DELRAY BEACH SURGICAL SUITES,10C0001616,1184164816,DELRAY BEACH,FL,33483,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
TRADITION SURGERY CENTER,10C0001617,1801343496,PORT SAINT LUCIE,FL,34987,2020,90.38,,N/A,5,1069,No Different than the National Rate,10.4,7.7,13.7,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,73,No Different than the National Rate,6.1,4.2,8.8,
TRADITION SURGERY CENTER,10C0001617,1801343496,PORT SAINT LUCIE,FL,34987,2019,N/A,5,N/A,5,735,No Different Than the National Rate,12.2,9.2,16.5,,N/A,5,N/A,5,,,,,,,,,,,,
ALLIANCE SPECIALTY SURGICAL CENTER,10C0001619,1053851162,ORMOND BEACH,FL,32174,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,97.02,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
ALLIANCE SPECIALTY SURGICAL CENTER,10C0001619,1053851162,ORMOND BEACH,FL,32174,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.39,,N/A,5,,,,,,,,,,,,
UNIVERSITY OF MIAMI DBA BASCOM PALMER SURGERY CENTER AT NAPLES,10C0001620,1295279586,NAPLES,FL,34103,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TRANSFORMATIONS SURGERY CENTER,10C0001621,1427507987,WESLEY CHAPEL,FL,33544,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TRANSFORMATIONS SURGERY CENTER,10C0001621,1427507987,WESLEY CHAPEL,FL,33544,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,86.85,,N/A,5,,,,,,,,,,,,
WELLINGTON EDOSCOPY CENTER,10C0001623,1629508387,WELLINGTON,FL,33414,2020,88.37,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF NAPLES,10C0001625,1487198495,NAPLES,FL,34110,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,325,No Different than the National Rate,2.2,1.7,3,,387,No Different than the National Rate,5.1,3.8,6.8,
SURGERY CENTER OF NAPLES,10C0001625,1487198495,NAPLES,FL,34110,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
CENTER FOR EYE SURGERY LLC,10C0001627,1134677990,MIAMI,FL,33183,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.39,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CENTER FOR EYE SURGERY LLC,10C0001627,1134677990,MIAMI,FL,33183,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,1.05,,,,,,,,,,,,,
CYPRESS CREEK OUTPATIENT SURGICAL CENTER LLC,10C0001629,1679086078,FORT LAUDERDALE,FL,33309,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,123,No Different than the National Rate,2.1,1.6,2.9,,N/A,N/A,N/A,N/A,N/A,5
CYPRESS CREEK OUTPATIENT SURGICAL CENTER LLC,10C0001629,1679086078,FORT LAUDERDALE,FL,33309,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.97,,N/A,5,,,,,,,,,,,,
CLEVELAND CLINIC CORAL SPRINGS AMBULATORY SURGERY CENTER,10C0001630,1740787068,CORAL SPRINGS,FL,33067,2020,85.44,,N/A,5,342,No Different than the National Rate,9.8,7.2,13.4,,96.23,,N/A,5,114,No Different than the National Rate,2.1,1.6,2.9,,72,No Different than the National Rate,6.4,4.3,9.4,
CLEVELAND CLINIC CORAL SPRINGS AMBULATORY SURGERY CENTER,10C0001630,1740787068,CORAL SPRINGS,FL,33067,2019,78.64,,N/A,5,215,No Different Than the National Rate,11.8,8.5,16.3,,97.42,,N/A,5,,,,,,,,,,,,
BAPTIST HEALTH ENDOSCOPY CENTER AT MIAMI BEACH,10C0001636,1568963189,MIAMI BEACH,FL,,2020,100,,N/A,5,86,No Different than the National Rate,9.9,7.4,13.5,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BAPTIST HEALTH ENDOSCOPY CENTER AT MIAMI BEACH,10C0001636,1568963189,MIAMI BEACH,FL,,2019,N/A,5,N/A,5,46,No Different Than the National Rate,11.7,8.3,16.1,,N/A,5,N/A,5,,,,,,,,,,,,
INTRACOASTAL SURGERY CENTER LLC,10C0001637,1326527680,MELBOURNE,FL,32935,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,280,No Different than the National Rate,2.1,1.5,2.8,,92,No Different than the National Rate,6.7,4.6,9.4,
INTRACOASTAL SURGERY CENTER LLC,10C0001637,1326527680,MELBOURNE,FL,32935,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
ORLANDO OUTPATIENT SURGERY CENTER,10C0001641,1225517279,ORLANDO,FL,32839,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,96.4,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
MERRITT ISLAND OUTPATIENT SURGERY CENTER,10C0001643,1407335458,MERRITT ISLAND,FL,32952,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
PALM BEACH SURGICAL SUITES LLC,10C0001644,1396211264,PALM BEACH GARDENS,FL,33410,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,285,No Different than the National Rate,2,1.5,2.8,,N/A,N/A,N/A,N/A,N/A,5
PALM BEACH SURGICAL SUITES LLC,10C0001644,1396211264,PALM BEACH GARDENS,FL,33410,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
SKYWAY SURGERY CENTER LLC,10C0001646,1366935074,ST PETERSBURG,FL,33701,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,41,No Different than the National Rate,2.3,1.7,3.1,,N/A,N/A,N/A,N/A,N/A,5
TAMPA BAY SURGERY CENTER DBA CENTER FOR ADVANCED SURGICAL SPECIALISTS,10C0001648,1538664644,TAMPA,FL,33618,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,31,No Different than the National Rate,2.1,1.5,2.9,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
TAMPA BAY SURGERY CENTER DBA CENTER FOR ADVANCED SURGICAL SPECIALISTS,10C0001648,1538664644,TAMPA,FL,33618,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,1,,,,,,,,,,,,
PERFORMANCE HEALTH SURGERY CENTER,10C0001653,1134684814,FORT MYERS,FL,33912,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,193,No Different than the National Rate,2.2,1.6,2.9,,N/A,N/A,N/A,N/A,N/A,5
PERFORMANCE HEALTH SURGERY CENTER,10C0001653,1134684814,FORT MYERS,FL,33912,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
BIOSPINE ORLANDO,10C0001655,1841755436,ORLANDO,FL,32839,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BIIOSPINE ORLANDO,10C0001656,1841755436,ORLANDO,FL,32839,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MIAMI ORTHOPEDICS SPORTS MEDICINE INSTITUTE SURGERY CENTER,10C0001657,1801450986,CORAL GABLES,FL,33146,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.11,,N/A,5,70,No Different than the National Rate,2.1,1.5,2.9,,N/A,N/A,N/A,N/A,N/A,5
HSS PALM BEACH AMBULATORY SURGERY CENTER,10C0001660,1790241073,WEST PALM BEACH,FL,33401,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,54,No Different than the National Rate,2.2,1.5,3,,N/A,N/A,N/A,N/A,N/A,5
BAPTIST HEALTH SURGERY CENTER AT BETHESDA WEST,10C0001661,1053971457,BOYNTON BEACH,FL,33472,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.47,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
SUN CITY CENTER AMBULATORY SURGERY CENTER,10C0001662,1396203238,RUSKIN,FL,33573,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FIRST COAST ORTHOPEDIC CENTER LLC,10C0001664,1811546575,JACKSONVILLE,FL,32216,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,96.81,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
CARDIOVASCULAR SURGICAL SUITES LLC,10C0001665,1669954707,CORAL SPRINGS,FL,333071,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ARC OF GEORGIA LLC,11C0001002,1225023021,BRUNSWICK,GA,31520,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0,,89,No Different than the National Rate,2.1,1.5,2.9,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
ARC OF GEORGIA LLC,11C0001002,1225023021,BRUNSWICK,GA,31520,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0,,,,,,,,,,,,,
ATLANTA SURGERY CENTER LTD,11C0001003,1336104926,ATLANTA,GA,30328,2020,70,,N/A,5,490,No Different than the National Rate,10.2,7.5,13.8,,100,,0.39,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
ATLANTA SURGERY CENTER LTD,11C0001003,1336104926,ATLANTA,GA,30328,2019,29.41,,N/A,5,698,No Different Than the National Rate,13.2,9.7,17.7,,99.92,,0.34,,,,,,,,,,,,,
MARIETTA OUTPATIENT SURGERY LTD,11C0001004,1669437109,MARIETTA,GA,30060,2020,100,,N/A,5,433,No Different than the National Rate,10.8,8,14.7,,100,,1.09,,37,No Different than the National Rate,2.1,1.5,2.9,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MARIETTA OUTPATIENT SURGERY LTD,11C0001004,1669437109,MARIETTA,GA,30060,2019,100,,N/A,5,545,No Different Than the National Rate,14.7,10.8,20.2,,100,,0.63,,,,,,,,,,,,,
EMORY HEALTHCARE,11C0001006,1295748531,ATLANTA,GA,30322,2020,90.77,,N/A,5,1482,No Different than the National Rate,10.5,8,13.8,,92,,0.82,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,241,No Different than the National Rate,5.4,3.7,7.5,
EMORY HEALTHCARE,11C0001006,1295748531,ATLANTA,GA,30322,2019,3.95,,N/A,5,1734,No Different Than the National Rate,11.8,8.9,15.2,,5.39,,0.33,,,,,,,,,,,,,
COLISEUM SAME DAY SURGERY CENTER LP,11C0001007,1609872597,MACON,GA,31217,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.75,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
COLISEUM SAME DAY SURGERY CENTER LP,11C0001007,1609872597,MACON,GA,31217,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.2,,,,,,,,,,,,,
MEDICAL EYE ASSOCIATES INC,11C0001008,1205800752,MACON,GA,31201,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.92,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
COLUMBIA SURGICARE OF AUGUSTA LTD,11C0001009,1548223068,AUGUSTA,GA,30904,2020,63.49,,N/A,5,1280,No Different than the National Rate,9.2,6.9,12,,100,,0,,50,No Different than the National Rate,2.1,1.5,2.9,,N/A,N/A,N/A,N/A,N/A,5
